Index Photo Num Rating Num1 Num2 Num3 Num4 Num5 Num6 Num7 Num8 Num9 Num10
1 10007 89 5.8876404494382 3 0 7 12 13 20 16 10 5 3
2 10009 89 6.78651685393258 0 0 0 8 12 22 20 11 8 8
3 10010 183 4.80874316939891 11 9 23 36 42 27 22 7 4 2
4 10011 187 5.70588235294118 3 4 11 26 38 42 36 21 3 3
5 10012 89 5.78651685393258 1 0 6 11 20 26 12 6 6 1
6 10013 90 6.23333333333333 3 1 3 6 15 20 19 13 9 1
7 10021 186 6.25268817204301 0 1 2 16 43 46 42 20 14 2
8 10024 90 5.7 1 0 6 17 21 18 11 9 6 1
9 10027 189 6.66666666666667 3 3 2 14 24 37 42 36 15 13
10 10033 193 6.7979274611399 0 1 4 8 29 45 40 33 23 10
11 10035 89 5.48314606741573 0 2 5 15 24 22 13 6 2 0
12 10036 188 6.13829787234043 2 1 9 13 41 50 31 24 13 4
13 10038 90 6.84444444444444 1 1 1 2 15 19 16 18 13 4
14 10039 182 5.68131868131868 3 5 7 25 41 47 33 10 8 3
15 10041 191 5.93193717277487 3 2 13 30 33 41 26 22 12 9
16 10045 188 7.34042553191489 0 0 1 9 18 25 44 48 21 22
17 10048 184 5.35326086956522 2 6 21 26 43 43 21 17 2 3
18 10050 182 3.75274725274725 28 32 23 35 34 14 7 4 3 2
19 10052 188 5.39893617021277 0 4 14 34 53 42 24 12 2 3
20 10053 182 7.3021978021978 1 0 2 2 20 36 34 38 34 15
21 10056 189 6.01058201058201 2 4 10 17 32 45 47 22 7 3
22 10061 89 6.85393258426966 0 0 1 2 18 20 13 22 8 5
23 10062 91 6.67032967032967 0 0 0 10 18 14 19 15 10 5
24 10066 89 6.89887640449438 0 0 0 5 7 27 21 16 8 5
25 10070 90 5.28888888888889 1 7 6 12 20 22 15 6 0 1
26 10072 89 4.89887640449438 3 5 11 16 27 13 4 5 5 0
27 10082 88 4.86363636363636 5 4 13 14 18 16 11 6 1 0
28 10089 201 5.57213930348259 2 4 13 22 57 53 29 14 5 2
29 10101 196 4.42857142857143 11 12 39 42 45 23 12 9 1 2
30 10105 193 5.40932642487047 6 4 10 40 43 39 27 16 6 2
31 10106 99 7 0 1 3 5 8 19 26 17 10 10
32 10108 96 6.40625 0 0 2 7 17 28 20 13 6 3
33 10112 97 5.45360824742268 1 2 7 13 27 24 14 7 2 0
34 10115 92 6.03260869565217 2 0 1 9 23 25 16 11 1 4
35 10117 95 4.78947368421053 1 3 6 31 29 16 8 0 1 0
36 10118 97 6.48453608247423 0 1 1 8 19 21 23 10 10 4
37 10122 197 5.97969543147208 8 0 9 29 32 44 34 18 9 14
38 10124 97 5.23711340206186 5 4 7 15 21 20 15 7 2 1
39 10128 197 4.91370558375634 17 7 30 23 47 32 15 16 5 5
40 10129 94 4.20212765957447 11 7 16 22 17 7 9 3 0 2
41 10130 93 6.9247311827957 0 0 0 4 12 21 25 17 9 5
42 10132 198 5.64646464646465 5 6 9 25 44 48 31 23 5 2
43 10133 99 6.88888888888889 0 0 0 5 10 28 18 26 10 2
44 10134 189 6.41798941798942 0 0 7 13 38 39 52 19 10 11
45 10136 97 4.2680412371134 10 11 16 21 16 8 6 3 4 2
46 10140 197 5.72081218274112 6 3 9 21 45 52 35 15 8 3
47 10144 96 5.9375 0 2 4 6 21 31 23 4 4 1
48 10145 199 4.54773869346734 14 12 26 45 44 30 18 8 1 1
49 10146 97 6.45360824742268 0 0 2 7 18 26 17 18 7 2
50 10147 193 6.66839378238342 2 0 4 8 34 40 41 41 14 9
51 10150 96 4.60416666666667 2 4 12 27 28 15 6 2 0 0
52 10153 94 5.21276595744681 0 3 5 19 29 23 10 5 0 0
53 10155 98 6.23469387755102 0 1 0 10 20 25 22 16 3 1
54 10156 97 6.89690721649485 0 0 0 8 12 19 24 16 13 5
55 10158 190 5.96842105263158 0 2 8 20 46 47 33 25 7 2
56 10160 199 7.06030150753769 2 0 2 9 16 42 47 39 32 10
57 10162 95 5.2421052631579 0 6 3 20 24 25 11 5 0 1
58 10163 193 5.95854922279793 1 4 16 29 27 45 26 23 14 8
59 10166 97 5.29896907216495 2 2 3 18 33 21 10 6 2 0
60 10167 195 4.12307692307692 14 22 35 44 42 21 11 3 2 1
61 10170 196 5.77040816326531 5 7 9 22 45 37 36 21 10 4
62 10171 190 4.93684210526316 4 9 21 39 53 33 18 9 4 0
63 10173 96 5.75 0 2 5 6 27 31 17 4 3 1
64 10175 194 6.42783505154639 4 4 4 11 31 46 32 42 12 8
65 10177 188 4.97340425531915 1 7 23 40 53 36 19 5 3 1
66 10179 94 5.23404255319149 1 6 5 16 24 24 11 5 1 1
67 10183 98 5.1530612244898 3 4 5 22 24 20 10 9 1 0
68 10184 188 5.43085106382979 5 7 10 31 45 42 22 19 5 2
69 10188 199 7.58291457286432 0 1 0 4 14 26 47 57 20 30
70 10189 94 6.9468085106383 0 2 0 6 12 15 20 23 9 7
71 10192 97 5.5360824742268 0 1 5 19 25 25 13 5 2 2
72 10195 196 6.75510204081633 2 4 6 5 26 40 45 38 13 17
73 10196 187 5.48128342245989 1 5 21 15 55 48 20 12 8 2
74 10199 188 5.22872340425532 6 11 15 32 37 41 25 15 4 2
75 10200 189 3.62433862433862 16 23 51 51 29 15 2 1 1 0
76 10202 193 6.67357512953368 0 4 3 7 29 46 43 37 15 9
77 10210 196 5.01530612244898 7 9 17 40 46 41 21 11 4 0
78 10213 97 7.25773195876289 0 0 0 3 4 26 27 14 15 8
79 10217 193 6.29533678756477 1 0 4 14 41 49 47 21 10 6
80 10220 194 3.92783505154639 14 20 48 44 38 16 11 2 1 0
81 10221 98 6.33673469387755 1 3 2 5 18 21 23 15 9 1
82 10222 190 6.7421052631579 0 0 6 7 25 41 56 29 20 6
83 10227 98 4.66326530612245 7 7 8 24 18 19 9 5 1 0
84 10228 195 5.38974358974359 7 9 16 24 45 39 31 14 6 4
85 10235 193 6.6839378238342 2 4 5 14 22 42 36 32 21 15
86 10236 192 4.4375 15 15 17 45 52 28 15 2 3 0
87 10237 190 2.62631578947368 80 40 19 23 13 3 3 2 0 7
88 10239 94 6.0531914893617 0 0 3 10 18 28 20 14 0 1
89 10240 192 3.9375 29 18 26 42 39 25 7 4 1 1
90 10243 97 7.4639175257732 0 0 1 5 5 20 18 18 14 16
91 10245 96 6.11458333333333 0 0 2 8 28 20 23 7 8 0
92 10246 190 6.58421052631579 2 2 5 9 29 43 48 24 17 11
93 10249 203 6.64039408866995 0 1 9 8 33 46 35 44 21 6
94 10250 193 3 43 42 41 34 16 10 5 1 0 1
95 10251 197 5.91878172588832 0 3 14 23 44 44 32 23 6 8
96 10253 197 5.7005076142132 1 0 13 29 51 43 35 18 5 2
97 10256 198 5.64141414141414 3 6 7 29 52 38 39 15 6 3
98 10257 187 4.80213903743315 7 6 25 41 47 32 20 8 1 0
99 10260 196 7.04081632653061 2 2 4 9 23 28 50 30 27 21
100 10263 97 6.07216494845361 0 0 1 9 18 37 21 8 3 0
101 10266 190 6.13157894736842 1 3 8 21 30 48 41 24 7 7
102 10269 98 6.62244897959184 0 0 2 10 15 18 20 20 10 3
103 10270 96 5.4375 2 3 5 14 28 21 11 8 4 0
104 10271 197 5.87817258883249 2 5 9 30 39 33 42 24 10 3
